"Transport-
datum";"Genehmigungs-
inhaber";Beförderer;Absender;Land;Empfänger;Land;Inhalt;"An-
zahl";"radio-
aktiver
Stoff 1";"Masse
in g";Exponent;"radio-
aktiver
Stoff 2";"Masse
in g";Exponent;Versandstück
21.01.1999;NCS;Transkem;Eurodif/F;F;ANF Lingen;D;UF6 ang.;;U-235;154000;;;;;USA/9196/AF
25.01.1999;RSB Logistic;Kieserling;ANF Lingen;D;KBR;D;BE;8;U-235;183040;;;;;D/4292/AF-85
25.01.1999;NCS;NCS;FBFC/B;B;KWG;D;BE MOX;4;;;;Pu-fis;120000;;D/4310/B(M)F-85
26.01.1999;Siemens AG;Birkart,Scandlines;Siemens AG;D;ABB Atom Schweden;S;kontam. Reststoffe;;U-235;1079;;;;;20' Container
26.01.1999;Siemens AG;Birkart,Scandlines;Siemens AG;D;ABB Atom Schweden;S;kontam. Kalkschlamm;;U-235;505;;;;;Safrap Typ CI-20
26.01.1999;RSB Logistic;Kieserling;Urenco/D;D;ANF Lingen;D;UF6 ang.;;U-235;462000;;;;;USA/9196/AF
26.01.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKK;D;BE;28;U-235;280840;;;;;D/4172/AF-85
27.01.1999;RSB Logistic;Kieserling;ANF Lingen;D;KBR;D;BE;8;U-235;183040;;;;;D/4292/AF-85
29.01.1999;NCS;Transkem,BLG,ACL;Urenco/D;D;West/USA;USA;UF6 ang.;;U-235;332449;;;;;USA/9196/AF
29.01.1999;Transnucleaire/Paris;ACL;Urenco/GB;GB;ABB Atom Schweden;S;UF6 ang.;;U-235;231000;;;;;USA/9196/AF
03.02.1999;RSB Logistic;Kieserling;ANF Lingen;D;BNFL/GB;GB;"UF6 ""heels""";;U-235;5730;;;;;GB/3518A/AF-85
03.02.1999;RSB Logistic;Kieserling;ANF Lingen;D;Urenco/NL;NL;"UF6 ""heels""";;U-235;4749;;;;;GB/3518A/AF-85
03.02.1999;RSB Logistic;Kieserling;ANF Lingen;D;BNFL/GB;GB;"UF6 ""heels""";;U-235;5730;;;;;GB/3518A/AF-85
03.02.1999;RSB Logistic;Kieserling;Urenco/NL;NL;ANF Lingen;D;UF6 ang.;;U-235;462000;;;;;USA/9196/AF
05.02.1999;Transnucleaire/Paris;Thomsen;Urenco/D;D;ABB Atom Schweden;S;UF6 ang.;;U-235;338000;;;;;USA/9196/AF
05.02.1999;Transnucleaire/Paris;ACL;USEC/USA;USA;ABB Atom Schweden;S;UF6 ang.;;U-235;351000;;;;;USA/9196/AF
05.02.1999;RSB Logistic;Sommer u. Grotke;ANF Lingen;D;KKW Olkiluoto/FIN;FIN;BE;64;U-235;651840;;;;;D/4172/AF-85
06.02.1999;NCS;ACL,BLG,Transkem;SNPC/USA;USA;ANF Lingen;D;UO2 Pellets;;U-235;582000;;;;;USA/9217/AF
08.02.1999;RSB Logistic;Kieserling;ANF Lingen;D;KRB;D;BE;8;U-235;80240;;;;;D/4172/AF-85
09.02.1999;RSB Logistic;Kieserling;Urenco/NL;NL;ANF Lingen;D;UF6 ang.;;U-235;462000;;;;;USA/9196/AF
16.02.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKP;D;BE;18;U-235;180540;;;;;D/4172/AF-85
16.02.1999;ABB Atom Schweden;Scandlines,Transkem;ABB Atom Schweden;S;KKB;D;BE;32;U-235;262400;;;;;D/4289/AF-85
16.02.1999;NCS;Lufthansa Cargo AG;ABB Atom Schweden;S;ABB Combustion/USA;USA;UO2 Pellets;;U-235;363200;;;;;USA/9274/AF
17.02.1999;RSB Logistic;Sommer u. Grotke,DLH;SNPC/USA;USA;ANF Lingen;D;UO2 Pellets;;U-235;5380;;;;;USA/9217/AF
19.02.1999;Transnucleaire/Paris;Thomsen,ACL;Urenco/NL;NL;ABB Atom Schweden;S;UF6 ang.;;U-235;431000;;;;;USA/9196/AF
21.02.1999;NCS;Hapag Lloyd;SNPC/USA;USA;ANF Lingen;D;UO2 Pellets;;U-235;600000;;;;;USA/9217/AF
21.02.1999;NCS;NCS,BLG;SNPC/USA;USA;ANF Lingen;D;UO2 Pellets;;U-235;295000;;;;;USA/9217/AF
22.02.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKP;D;BE;24;U-235;240720;;;;;D/4172/AF-85
23.02.1999;RSB Logistic;Kieserling,Lufthansa;ANF Lingen;D;INB/BR;BR;BSt.;1200;U-235;142500;;;;;D/4172/AF-85
23.02.1999;NCS;Transkem;Urenco/GB;GB;Urenco/D;D;UF6 ang.;;U-235;218322;;;;;USA/9196/AF
23.02.1999;ABB Atom Schweden;NCS,Scandlines;ABB Atom Schweden;S;KKB;D;BE;32;U-235;262400;;;;;D/4289/AF-85
24.02.1999;NCS;NCS;TUI;D;HFR/NL;NL;BSt. MOX;3;;;;Pu-fis;69;;D/4100/B(U)F-85
25.02.1999;NCS;NCS;Urenco/D;D;BNFL/GB;GB;UF6 ang.;;U-235;159601;;;;;USA/9196/AF
25.02.1999;NCS;NCS;PSI/CH;CH;TUI;D;BSt.;5;U-235;20;;Pu-fis;74;;F/233/B(U)F
28.02.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKP;D;BE;24;U-235;240720;;;;;D/4172/AF-85
01.03.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKW Gösgen/CH;CH;BE;12;U-235;250080;;;;;D/4292/AF-85
02.03.1999;ABB Atom Schweden;NCS,Scanslines;ABB Atom Schweden;S;KKB;D;BE;32;U-235;262400;;;;;D/4289/AF-85
02.03.1999;NCS;Transkem;Urenco/GB;GB;Urenco/D;D;UF6 ang.;;U-235;231000;;;;;USA/9196/AF
03.03.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKW Gösgen/CH;CH;BE;12;U-235;250080;;;;;D/4292/AF-85
04.03.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKP;D;BE;18;U-235;180540;;;;;D/4172/AF-85
05.03.1999;ANF Lingen;Kieserling,ACL,BLG;ANF Lingen;D;SNPC/USA;USA;kontam. Reststoffe;;U-235;2400;;;;;freigestellt
05.03.1999;RSB Logistic;Sommer u. Grotke;ANF Lingen;D;KKW Olkiluoto/FIN;FIN;BE;66;U-235;672210;;;;;D/4172/AF-85
09.03.1999;ABB Atom Schweden;NCS,Scandlines;ABB Atom Schweden;S;KKB;D;BE;8;U-235;65600;;;;;D/4289/AF-85
09.03.1999;NCS;Argo Reederei;Studsvik Holding AB;S;US-DOE/USA;USA;BE  MTR;112;U-235;15873;;Pu-fis;1676;;D/4160/B(U)F-85
10.03.1999;RSB Logistic;Kieserling;Urenco/D;D;FBFC/F;F;UF6 ang.;;U-235;154000;;;;;USA/9196/AF
10.03.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKW Doel/B;B;BE;12;U-235;150000;;;;;D/4300/AF-85
10.03.1999;NCS;NCS,Argo Reederei;Reaktor Garching;D;US-DOE/USA;USA;BE  MTR;33;U-235;294561;-2;Pu-fis;2152;-2;D/4326/B(U)F-85
10.03.1999;NCS;Transkem,Argo;HMI Berlin;D;US-DOE/USA;USA;BE  MTR;29;U-235;226762;-2;Pu-fis;1848;-3;D/4224/B(U)F-85
10.03.1999;NCS;NCS,Argo Reederei;KFA Jülich;D;US-DOE/USA;USA;BE  MTR;28;U-235;232807;-2;Pu-fis;15677;-3;D/4224/B(U)F-85
10.03.1999;Transnucleaire/Paris;Argo Reederei;RISOE/DK;DK;US-DOE/USA;USA;BE  MTR;60;U-235;5680;;Pu-fis;432;;F/007/B(U)F Gd
10.03.1999;NCS;NCS;KKW Chinon/F;F;ANF Lingen;D;BSt.;9;U-235;790;;;;;F/545/X,F/285/F
12.03.1999;NCS;ACL,BLG,Transkem;SNPC/USA;USA;ANF Lingen;D;UO2 Pellets;;U-235;125000;;;;;USA/9217/AF
15.03.1999;NCS;NCS,Sommer u. Grotke;Ulba Plant/KAS;KAS;ANF Lingen;D;UF6 ang.;;U-235;999000;;;;;USA/4909/AF
15.03.1999;NCS;NCS;FBFC/B;B;KKW Gösgen/CH;CH;BE MOX;4;;;;Pu-fis;104000;;D/4174/B(M)F-85
16.03.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKG;D;BE;8;U-235;183040;;;;;D/4292/AF-85
17.03.1999;NCS;Transkem,Scandlines;ANF Lingen;D;KKW Oskarshamn/S;S;BE;24;U-235;240720;;;;;D/4172/AF-85
17.03.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKW Doel/B;B;BE;4;U-235;50000;;;;;D/4300/AF-85
17.03.1999;NCS;Transkem;KKW Chinon/F;F;ANF Lingen;D;BSt.;9;U-235;790;;;;;F/545/X,F/285/F
18.03.1999;NCS;NCS;FBFC/B;B;KKW Gösgen/CH;CH;BE MOX;4;;;;Pu-fis;104000;;D/4174/B(M)F-85
20.03.1999;NCS;Transkem,Scandlines;ABB Atom Schweden;S;Indust. Nucleaes /BR;BR;UO2 Pulver;;U-235;131600;;;;;D/4280/AF-85
22.03.1999;NCS;NCS;FBFC/B;B;KKW Gösgen/CH;CH;BE MOX;4;;;;Pu-fis;104000;;D/4174/B(M)F-85
23.03.1999;NCS;NCS,Scandlines;ANF Lingen;D;KKW Oskarshamn/S;S;BE;24;U-235;240720;;;;;D/4172/AF-85
23.03.1999;RSB Logistic;Kieserling;Urenco/NL;NL;ANF Lingen;D;UF6 ang.;;U-235;462000;;;;;USA/9196/AF
23.03.1999;RSB Logistic;Kieserling;Urenco/D;D;ANF Lingen;D;UF6 ang.;;U-235;462000;;;;;USA/9196/AF
23.03.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKG;D;BE;12;U-235;274560;;;;;D/4292/AF-85
24.03.1999;RSB Logistic;Kieserling;Urenco/NL;NL;ANF Lingen;D;UF6 ang.;;U-235;385000;;;;;USA/9196/AF
24.03.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKW Doel/B;B;BE;12;U-235;150000;;;;;D/4300/AF-85
24.03.1999;NCS;NCS;ANF Lingen;D;KKW Chinon/F;F;BE;14;U-235;280000;;;;;D/7659/X-85
24.03.1999;NCS;Transkem;KKW Chinon/F;F;ANF Lingen;D;BSt.;9;U-235;790;;;;;F/545/X,F/285/F
25.03.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKG;D;BE;12;U-235;274560;;;;;D/4292/AF-85
25.03.1999;NCS;NCS;FBFC/B;B;KKW Gösgen/CH;CH;BE MOX;4;;;;Pu-fis;104000;;D/4174/B(M)F-85
28.03.1999;RSB Logistic;B.Bischoff,Hanjin;Techsnabexport/RUS;RUS;KEPCO/ROK;ROK;UF6 ang.;;U-235;2695000;;;;;USA/9234/B(U)F
29.03.1999;NCS;Transkem,Scandlines;ANF Lingen;D;KKW Oskarshamn/S;S;BE;28;U-235;280840;;;;;D/4172/AF-85
30.03.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKG;D;BE;12;U-235;274560;;;;;D/4292/AF-85
30.03.1999;NCS;Transkem;ANF Lingen;D;KKW Chinon/F;F;BE;12;U-235;240000;;;;;F/269/AF
30.03.1999;Fracht AG/CH;NCS,Lufthansa Cargo;General Electric/USA;USA;KKW Mühleberg/CH;CH;BE;36;U-235;260280;;;;;D/4306/AF-85
31.03.1999;RSB Logistic;Kieserling;Urenco/D;D;ANF Lingen;D;UF6 ang.;;U-235;462000;;;;;USA/9196/AF
31.03.1999;NCS;NCS;FBFC/B;B;KKW Gösgen/CH;CH;BE MOX;4;;;;Pu-fis;104000;;D/4174/B(M)F-85
01.04.1999;RSB Logistic;Kieserling;ANF Lingen;D;KWB;D;BE;12;U-235;283200;;;;;D/4300/AF-85
07.04.1999;RSB Logistic;Kieserling;ANF Lingen;D;KWB;D;BE;12;U-235;283200;;;;;D/4300/AF-85
07.04.1999;NCS;Transkem;ANF Lingen;D;KKW Chinon/F;F;BE;14;U-235;280000;;;;;F/285/F
12.04.1999;NCS;NCS;FBFC/B;B;KKU;D;BE MOX;4;;;;Pu-fis;120000;;D/4174/B(M)F-85
13.04.1999;RSB Logistic;Hanjin;Urenco/NL;NL;KEPCO/ROK;ROK;UF6 ang.;;U-235;847000;;;;;USA/4909/AF
13.04.1999;NCS;Transkem;ANF Lingen;D;KKW Blayais/F;F;BE;6;U-235;120000;;;;;F/269/AF
14.04.1999;RSB Logistic;Kieserling;ANF Lingen;D;KWB;D;BE;12;U-235;283200;;;;;D/4300/AF-85
14.04.1999;NCS;NCS;FBFC/B;B;KKU;D;BE MOX;4;;;;Pu-fis;120000;;D/4310/B(M)F-85
14.04.1999;NCS;NCS;TU Dresden;D;VKTA;D;Brennstoffplatten;3;U-235;113;;;;;D/7662/X-85
15.04.1999;NCS;NCS,Transkem;Urenco/D;D;BNFL/GB;GB;UF6 ang.;;U-235;707425;;;;;USA/9196/AF
15.04.1999;TU München;TU München;BfS Hanau;D;TU München;D;SUR-100-BE-Platte;1;U-235;2134;-2;;;;D/7661/X-85
17.04.1999;NCS;ACL,BLG,Transkem;SNPC/USA;USA;ANF Lingen;D;UO2 Pellets;;U-235;90000;;;;;USA/9217/AF
17.04.1999;NCS;NCS,Transkem,BLG,ACL;Urenco/D;D;West/USA;USA;UF6 ang.;;U-235;465932;;;;;USA/9196/AF
19.04.1999;NCS;NCS;FBFC/B;B;KKU;D;BE MOX;4;;;;Pu-fis;120000;;D/4174/B(M)F-85
19.04.1999;NCS;Transkem;ANF Lingen;D;KKW Blayais/F;F;BE;14;U-235;280000;;;;;F/285/F
20.04.1999;Fracht AG/CH;Lufthansa Cargo,NCS;General Electric/USA;USA;KKW Mühleberg/CH;CH;BE;40;U-235;289070;;;;;D/4306/AF-85
20.04.1999;Fracht AG/CH;Lufthansa Cargo,NCS;General Electric/USA;USA;KKP;D;BE;4;U-235;28560;;;;;D/4306/AF-85
21.04.1999;RSB Logistic;Kieserling;ANF Lingen;D;KRB;D;BE;30;U-235;300900;;;;;D/4172/AF-85
22.04.1999;RSB Logistic;Bruno Bischoff;Techsnabexport/RUS;RUS;KEPCO/ROK;ROK;UF6 ang.;;U-235;1386000;;;;;USA/9234/B(U)F
22.04.1999;NCS;NCS;FBFC/B;B;KKU;D;BE MOX;4;;;;Pu-fis;120000;;D/4310/B(M)F-85
26.04.1999;RSB Logistic;Kieserling;ANF Lingen;D;KRB;D;BE;36;U-235;361080;;;;;D/4172/AF-85
26.04.1999;NCS;Transkem;ANF Lingen;D;KKW Blayais/F;F;BE;12;U-235;240000;;;;;F/269/AF
28.04.1999;RSB Logistic;Kieserling;ANF Lingen;D;KRB;D;BE;34;U-235;341020;;;;;D/4172/AF-85
28.04.1999;NCS;Transkem;Urenco/D;D;BNFL/GB;GB;kontam. Reststoffe;;U-235;85;;;;;Stahlfaß
28.04.1999;RSB Logistic;Kieserling;ANF Lingen;D;KRB;D;BSt.;2;U-235;238;;;;;D/4172/AF-85
30.04.1999;NCS;NCS,BLG,ACL;Urenco/D;D;West/USA;USA;UF6 ang.;;U-235;414449;;;;;USA/4909/AF
04.05.1999;RSB Logistic;Bruno Bischoff;Techsnabexport/RUS;RUS;KEPCO/ROK;ROK;UF6 ang.;;U-235;1155000;;;;;USA/9234/B(U)F
04.05.1999;NCS;NCS;ANF Lingen;D;Cogema/F;F;UF6 ang.;;U-235;308000;;;;;USA/9196/AF
05.05.1999;Transnucleaire/Paris;TPT Celestin;Eurodif/F;F;ABB Atom Schweden;S;UF6 ang.;;U-235;394000;;;;;USA/9196/AF
10.05.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKW Gösgen/CH;CH;BE;4;U-235;83360;;;;;D/4292/AF-85
10.05.1999;NCS;NCS;FBFC/B;B;KWG;D;BE MOX;4;;;;Pu-fis;120000;;D/4310/B(M)F-85
13.05.1999;NCS;Transkem,Scandlines;ANF Lingen;D;KKW Forsmark/S;S;BE;70;U-235;702100;;;;;D/4172/AF-85
14.05.1999;Transnucleaire/Paris;Thomsen,ACL;Urenco/NL;NL;ABB Atom Schweden;S;UF6 ang.;;U-235;339000;;;;;USA/9196/AF
14.05.1999;NCS;ACL,BLG,Transkem;USEC/USA;USA;ANF Lingen;D;UF6 ang.;;U-235;821669;;;;;USA/9196/AF
17.05.1999;Siemens AG;Schloter,Scandlines;Siemens AG;D;ABB Atom Schweden;S;kontam. Reststoffe;;U-235;912;;;;;20' Container
17.05.1999;Siemens AG;Birkart,Scandlines;Siemens AG;D;ABB Atom Schweden;S;kontam. Kalkschlamm;;U-235;576;;;;;Safrap
17.05.1999;Siemens AG;Birkart,Scandlines;Siemens AG;D;ABB Atom Schweden;S;kontam. Reststoffe;;U-235;4125;;;;;Stahlfaß
18.05.1999;RSB Logistic;Kieserling;Urenco/D;D;ANF Lingen;D;UF6 ang.;;U-235;462000;;;;;USA/9196/AF
18.05.1999;NCS;NCS;FBFC/B;B;KWG;D;BE MOX;4;;;;Pu-fis;120000;;D/4310/B(M)F-85
18.05.1999;NCS;NCS;TUI;D;CEA/F;F;MOX Pellets;;;;;Pu-fis;52;;F/313/B(U)F-85
19.05.1999;RSB Logistic;Kieserling;ANF Lingen;D;Urenco/D;D;"UF6 ""heels""";;U-235;5730;;;;;GB/3518A/AF-85
19.05.1999;NCS;NCS;ANF;D;Siemens AG;D;U Probe(n);;U-235;90;;;;;Alukoffer
20.05.1999;NCS;Scandlines,Transkem;ABB Atom Schweden;S;KKW Leibstadt/CH;CH;BE;32;U-235;262400;;;;;D/4289/AF-85
21.05.1999;NCS;Sommer u. Grotke,NCS;ABB Atom Schweden;S;KKW Leibstadt/CH;CH;BE;32;U-235;262400;;;;;D/4289/AF-85
24.05.1999;NCS;Sommer u. Grotke;ANF Lingen;D;KWO;D;BE;8;U-235;98160;;;;;D/4205/AF-85
26.05.1999;NCS;Transkem,NCS;ABB Atom Schweden;S;KKW Leibstadt/CH;CH;BE;16;U-235;131200;;;;;D/4289/AF-85
27.05.1999;NCS;Sommer u. Grotke;ANF Lingen;D;KWO;D;BE;8;U-235;98160;;;;;D/4205/AF-85
27.05.1999;NCS;Transkem,NCS;ABB Atom Schweden;S;KKW Leibstadt/CH;CH;BE;28;U-235;229785;;;;;D/4289/AF-85
27.05.1999;Fracht AG/CH;Sommer u. Grotke,FAG;General Electric/USA;USA;KRB;D;BE;8;U-235;64056;;;;;D/4306/AF-85
01.06.1999;RSB Logistic;Kieserling;Urenco/NL;NL;ANF Lingen;D;UF6 ang.;;U-235;462000;;;;;USA/9196/AF
02.06.1999;NCS;NCS;ANF Lingen;D;Siemens AG;D;U Probe(n);;U-235;40;;;;;Alukoffer
08.06.1999;RSB Logistic;Kieserling;ANF Lingen;D;Urenco/NL;NL;"UF6 ""heels""";;U-235;3166;;;;;GB/3518A/AF-85
08.06.1999;RSB Logistic;Kieserling;Urenco/NL;NL;ANF Lingen;D;UF6 ang.;;U-235;385000;;;;;USA/9196/AF
08.06.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKW Borssele/NL;NL;BE;12;U-235;233760;;;;;D/4137/AF-85
10.06.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKW Borssele/NL;NL;BE;8;U-235;155840;;;;;D/4137/AF-85
15.06.1999;RSB Logistic;Kieserling;ANF Lingen;D;Urenco/NL;NL;UF6 ang.;;U-235;3820;;;;;GB/3518A/AF-85
15.06.1999;RSB Logistic;Kieserling;Urenco/NL;NL;ANF Lingen;D;UF6 ang.;;U-235;385000;;;;;USA/9196/AF
15.06.1999;NCS;NCS;FBFC/B;B;GKN;D;BE;10;U-235;221000;;;;;F/291/F
15.06.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKW Borssele/NL;NL;BE;8;U-235;155840;;;;;D/4137/AF-85
17.06.1999;NCS;NCS;FBFC/B;B;GKN;D;BE;8;U-235;176800;;;;;F/291/F
17.06.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKW Borssele/NL;NL;BE;8;U-235;155840;;;;;D/4137/AF-85
18.06.1999;NCS;ACL,Transkem,BLG;SNPC/USA;USA;ANF Lingen;D;UO2 Pellets;;U-235;123000;;;;;USA/9217/AF
21.06.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKI;D;BE;8;U-235;181680;;;;;D/4292/AF-85
21.06.1999;RSB Logistic;Bruno Bischoff,ACL;Techsnabexport/RUS;RUS;ABB Atom Schweden;S;UF6 ang.;;U-235;462000;;;;;USA/4909/AF
22.06.1999;RSB Logistic;Kieserling;ANF Lingen;D;BNFL/GB;GB;"UF6 ""heels""";;U-235;7640;;;;;GB/3518A/AF-85
22.06.1999;NCS;NCS;FBFC/B;B;GKN;D;BE;10;U-235;221000;;;;;D/4292/AF-85
22.06.1999;NCS;Transkem,NCS;ANF Lingen;D;Cogema/F;F;"UF6 ""heels""";;U-235;3000;;;;;USA/9196/AF
23.06.1999;RSB Logistic;Kieserling;Urenco/GB;GB;ANF Lingen;D;UF6 ang.;;U-235;539000;;;;;USA/9196/AF
24.06.1999;ANF Lingen;Kieserling,ACL,BLG;ANF Lingen;D;SNPC/USA;USA;kontam. Reststoffe;;U-235;2400;;;;;freigestellt
24.06.1999;NCS;Transkem,Scandlines;ANF Lingen;D;KKW Ringhals/S;S;BE;70;U-235;702100;;;;;D/4172/AF-85
28.06.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKI;D;BE;12;U-235;272520;;;;;D/4292/AF-85
29.06.1999;RSB Logistic;Kieserling;Urenco/GB;GB;ANF Lingen;D;UF6 ang.;;U-235;462000;;;;;USA/9196/AF
29.06.1999;NCS;NCS;Urenco/GB;GB;Urenco/D;D;UF6 ang.;;U-235;443620;;;;;USA/9196/AF
30.06.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKI;D;BE;12;U-235;272520;;;;;D/4292/AF-85
02.07.1999;NCS;NCS,ACL,BLG;Urenco/D;D;West/USA;USA;UF6 ang.;;U-235;792116;;;;;USA/9196/AF
02.07.1999;RSB Logistic;Kieserling;Urenco/GB;GB;ANF Lingen;D;UF6 ang.;;U-235;462000;;;;;USA/9196/AF
02.07.1999;NCS;NCS,ACL,BLG;ANF Lingen;D;SNPC/USA;USA;UF6 ang.;;U-235;924000;;;;;USA/9196/AF
06.07.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKI;D;BE;12;U-235;272520;;;;;D/4292/AF-85
06.07.1999;RSB Logistic;Kieserling;Urenco/D;D;ANF Lingen;D;UF6 ang.;;U-235;462000;;;;;USA/9196/AF
06.07.1999;NCS;NCS;ANF Lingen;D;Cogema/F;F;"UF6 ""heels""";;U-235;3000;;;;;USA/9196/AF
07.07.1999;RSB Logistic;Kieserling;ANF Lingen;D;Siemens Erlangen;D;UO2 Grünlinge, Pell.;;U-235;12000;;;;;D/4095/AF-85
08.07.1999;Transnucleaire/Paris;ACL;FBFC/B;B;KKW Ringhals/S;S;BE;36;U-235;613440;;;;;D/7667/X-85
09.07.1999;NCS;NCS;Urenco/D;D;BNFL/GB;GB;UF6 ang.;;U-235;209603;;;;;USA/9196/AF
09.07.1999;NCS;Transkem;MHH;D;US-DOE/USA;USA;BE  Triga;76;U-235;277628;-2;Pu-fis;871247;-5;D/4326/B(U)F-85
19.07.1999;NCS;NCS;ANF Lingen;D;KKW Blayais/F;F;BE;14;U-235;280000;;;;;F/285/F
20.07.1999;NCS;Sommer u. Grotke;ANF Lingen;D;Cogema/F;F;"UF6 ""heels""";;U-235;3000;;;;;USA/9196/AF
22.07.1999;RSB Logistic;Kieserling;ANF Lingen;D;KKW Trillo/E;E;BE;44;U-235;100672;1;;;;D/4292/AF-85
